ja,ru
ぼつぼつ,Понемногу
袋叩き,Удар кого-л. По смыкающимся на
上位８０人と下位３５億人の収入はほぼ同じ,"В топ 80 человек и более низкие 3,5 миллиарда человек дохода почти то же самое"
ラジオでお気に入りのアーティストを見つけました,Я нашел ваших любимых исполнителей на радио
うまくいかないことを何でも「コロナのせい」にしてはいけない。,"Не к чему-либо «из-за короны», что не работает."
海外に住んでいる日本人が現地の食材で日本食を作ります,Создание японской кухни с ингредиентами японской местной жизни за рубежом
ワクチンを摂取希望する人の数を把握したい,"Я хочу знать, количество людей, которые проглоченное надеются вакцина"
もはや今の日本ではたいていの国の食べ物は手に入る。,Нет теперь больше большинства стран пищи в Японии не входит в руку.
合格証を額縁に入れて飾る,Украсить и поместить сертификат прохода в кадре
共感性羞恥,Сочувствие стыда
閉店時間がいつもより早い,"Это раньше, чем в обычное время закрытия"
この世に生まれて来てよかった,"Это было хорошо, чтобы прийти родились в этом мире"
首都直下地震、南海トラフ巨大地震,"Капитал непосредственно под землетрясения, Нанькайского корыте огромное землетрясение"
辞意を表明した,Он объявил о своей отставке
｢セネガルはサハラ砂漠の南側に位置しています｣,«Сенегал расположен на южной стороне Сахары.»
和製英語に引っ張られて発音を間違えちゃうんです、,"Вы неправильно произношение вытягиваются к японскому производству английского языку,"
ある程度英語を話せるようになるまで2千時間勉強が必要だ,"Мне нужно 2 тысячи часов, изучая, чтобы стать в некоторой степени говорить по-английски"
破門,анафема
人の目を気にする,"Для того, чтобы заботиться о человеческом глазу"
〇キロまで痩せたい,"Я хочу, чтобы похудеть до 〇 километров"
自転車を運転する人,Человек работает велосипед
残念ながら署名には政治への影響がほとんどない、,"Существует незначительное влияние на политику в подписи К сожалению,"
ニキビができそう,"Это, кажется, в состоянии акне"
ひとつひとつ人の目で検査している為時間がかかっています,"Потому что вы нашли время, проверяемый на каждый человеке в глазах"
料理が出来上がる頃には、お腹もへっているだろう,"К тому времени приготовление завершено, будет иметь желудок также хех"
豆腐メンタル,Тофу умственная
独自すぎる,Собственное слишком
彼は怪しい,Он подозрителен
野球だけでなく動画編集にも興味があるのでやってみたい,"Я хочу делать, потому что заинтересованы в том, редактирования видео, а также бейсбол"
「１週間前に彼に蹴られたところが今痛みだした」,"«За неделю до, где он проломил он начал боли в настоящее время.»"
彼の行動は限りなく黒に近い、,"Его поведение близко к черным, как это возможно,"
これを動かして,Подвинь это
私の1番のお気に入りの映画を観たことのある最初の人,"Первые люди, которые смотрели мой номер 1 любимые фильмы"
挑戦状を叩きつけられた,Задача захлопнулась
収入が上がれば上がるほど、税金を多く取られる,"Больше она идет вверх, если доход идет вверх, взятые много налогов"
骨につけたボルトは後でまた取り外すことはできますか？,"Или болт может быть удален или более поздней версией, которая была прикреплен к костям?"
ビジネス化,Бизнес
アメリカの水が肌に合わない,Америка воды не подходит для кожи
「横に流そうとしてもすぐ戻っちゃう」,"«Я хотел бы вернуться немедленно, даже если течь дальше.»"
土地鑑を教えて,Что такое Tochikan
老害もいいところだ,Рогаи я также хорошее место
試験会場では必ず身分証明書の提示が求められる,Это всегда требуется для настоящего идентификации в испытательном центре
大玉おくり・色別対抗リレー・台風の目・借り物競争,"Ootama подарок-глаз, заимствованная конкуренция цвета противотока реле тайфун"
好きになった人が同性愛者だと分かったら、どうする？,"Люди, которые пришли, чтобы понравиться Если вы обнаружите, что он гей, что делать?"
仕事で怒られたことが彼女がpcの勉強をしようと思う引き金となった,Это она сердилась на работе стал триггером думать и попытаться изучить компьютер
同じような内容の請求書を先月受け取っています。,"Счет того же вида контента, который вы получили в прошлом месяце."
日本が誇る文化の一つは「寿司」だと思う,"Я думаю, что «суша» является одним из культуры, что Япония гордится"
今日の夜食は何食べようかなぁ？,"Интересно, что вы едите сегодня полночь закуски?"
ヤモリはそのへんにうんちやおしっこをします。,Gecko будет ли кормы и пописать вокруг здесь.
まだ間に合うかもしれない,Он по-прежнему может быть во время
3年間続けたバイトをやめた,Бросить байты продолжались в течение трех лет
わたしは最初の〜だが、最後ではない,"Я первый, - но не последний"
狂ったように,Как сумасшедший
ペットを叱る,Ругать животное
高いお金を出してMBAを取るより起業した方が良いと思う,"Я думаю, что это лучше, чем предпринимателям принимать MBA из-за высокой цене"
交代してね,Он был заменен
クリスマスはいつも家族と過ごしています,Рождество всегда проводится с семьей
倒産はしてないけど、自宅に帰らされて、再開は未定です。,"Но банкротство не является, это вернуться к дому, резюме в нерешительности."
ワクチンを打つ,Хит вакцины
職業に貴賎なし,Профессия без напроксен
子供の好き嫌いを無くすために調理方法を工夫する,"Для того, чтобы разработать, как приготовить, чтобы устранить симпатии и антипатии ребенка"
塩焼き,гриль
メルカリに出品した本が売れた,Книга была направлена ​​на Merukari было продано
金型はありません,Там нет плесени
気にしないで　大丈夫だよ,Все хорошо не волнуйся
この努力に対する見返りは大きなものとなるだろう,В ответ на это усилие будет большая вещь
こんなにも小さい,Настолько мал
動物をトラッキングすると、観光客は動物を見つけやすくなる,"При отслеживании животного, состоящем из туристов легко найти животное"
誘惑に負けました ,Это было искушение
コロナをうつされたかもしれないから検査したい。,"Я хочу, чтобы проверить, потому что он может быть перемещен в короне."
三権分立,Разделение ветвей власти
その機能はどうやって設定するの,Как установить свою функцию
プールで泳ぐのは好きだけれど、着替えが面倒くさい。,"Но мне нравится плавать в бассейне, смена одежды хлопотно."
彼女にお水をください,"Она Пожалуйста, дайте нам воду"
存在感のある証拠,Данные с сильным присутствием
時間にゆとりを持って行動しましょう。,Давайте действовать с миром времени.
気になる所はありますか？,"У вас есть место, чтобы быть обеспокоены?"
防災だけでなく減災も大事だ,"Важно также смягчение последствий стихийных бедствий, а также предупреждения стихийных бедствий"
私は完全に理解した,Я полностью понимаю
